File index,Travel time,Path distance,Travel time ratio,Path length ratio,Travel time standard deviation,Number of failed instances,Computation time
205, 23.5, 23.5, 1.0333333333333334, 1.0333333333333334, 1.5, 2, 0.0
206, 23.666666666666668, 23.666666666666668, 1.0, 1.0, 1.699673171197595, 2, 0.0
207, 24.0, 23.833333333333332, 1.0069444444444444, 1.0, 2.160246899469287, 2, 0.0
208, 23.333333333333332, 23.333333333333332, 1.0166666666666666, 1.0166666666666666, 2.2852182001336816, 2, 0.0
209, 23.0, 23.0, 1.0, 1.0, 1.632993161855452, 2, 0.0
21, 24.333333333333332, 24.333333333333332, 1.0, 1.0, 2.1343747458109497, 2, 0.0
210, 24.166666666666668, 24.166666666666668, 1.0, 1.0, 2.4094720491334933, 2, 0.0
211, 22.5, 22.5, 1.0158730158730158, 1.0158730158730158, 1.707825127659933, 2, 0.0
212, 25.5, 25.333333333333332, 1.0066666666666666, 1.0, 1.6072751268321592, 2, 0.0
213, 22.0, 22.0, 1.0, 1.0, 1.5275252316519468, 2, 0.0
214, 23.5, 23.166666666666668, 1.0133547008547008, 1.0, 2.29128784747792, 2, 0.0
215, 22.666666666666668, 22.333333333333332, 1.0526315789473684, 1.0350877192982455, 1.8856180831641267, 2, 0.0
216, 22.0, 21.666666666666668, 1.0303030303030303, 1.0151515151515151, 1.7320508075688772, 2, 0.0
217, 22.333333333333332, 22.166666666666668, 1.0072463768115942, 1.0, 0.9428090415820634, 2, 0.0
218, 23.666666666666668, 23.5, 1.020066889632107, 1.0128205128205128, 2.6246692913372702, 2, 0.0
219, 23.333333333333332, 23.333333333333332, 1.0, 1.0, 2.211083193570267, 2, 0.0
22, 23.333333333333332, 23.333333333333332, 1.0166666666666666, 1.0166666666666666, 2.2852182001336816, 2, 0.0
220, 24.0, 24.0, 1.0144927536231885, 1.0144927536231885, 2.0, 2, 0.0
221, 22.666666666666668, 22.5, 1.007936507936508, 1.0, 2.1343747458109497, 2, 0.0
222, 22.166666666666668, 22.166666666666668, 1.0166666666666666, 1.0166666666666666, 1.4624940645653537, 2, 0.0
223, 22.666666666666668, 22.333333333333332, 1.0155122655122655, 1.0, 1.8856180831641267, 2, 0.0
224, 23.666666666666668, 23.333333333333332, 1.0151515151515151, 1.0, 2.4267032964268394, 2, 0.0
225, 23.166666666666668, 23.0, 1.0238095238095237, 1.0158730158730158, 0.8975274678557508, 2, 0.0
226, 22.833333333333332, 22.666666666666668, 1.0263157894736843, 1.0175438596491229, 2.4094720491334933, 2, 0.0
227, 23.666666666666668, 23.666666666666668, 1.0, 1.0, 1.9720265943665387, 2, 0.0
228, 22.333333333333332, 22.333333333333332, 1.0, 1.0, 1.8856180831641267, 2, 0.0
229, 23.5, 23.5, 1.0, 1.0, 1.118033988749895, 2, 0.0
23, 24.0, 24.0, 1.0, 1.0, 2.7688746209726918, 2, 0.0
230, 23.333333333333332, 23.166666666666668, 1.0072463768115942, 1.0, 1.9720265943665387, 2, 0.0
